Function,Array_Size,Comparisons
Linear Search,876,1747
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1740
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1742
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1743
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1183
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1750
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1372
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1374
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1372
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1371
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,879
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1378
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,686,1362
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1365
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1365
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1364
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1366
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1364
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1364
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1362
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,863
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1370
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,786,1562
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1565
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1563
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1565
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1012
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1570
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1364
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1367
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1369
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1367
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,856
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1372
Pair Comparison,687,1029
STL minmax_element,687,1028
Linear Search,600,1193
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1194
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1195
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1190
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1192
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1193
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1194
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1195
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,742
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1198
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,287,571
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,569
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,569
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,564
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,569
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,565
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,564
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,564
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,323
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,572
Pair Comparison,287,429
STL minmax_element,287,428
Linear Search,365,722
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,723
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,719
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,726
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,723
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,721
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,722
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,723
Pair Comparison,365,546
